,importance
x779,-0.0003296753543670317
x317,-0.0003374485596709498
x357,-0.00033927754915437093
x100,-0.00034110653863779207
x713,-0.00034110653863788086
x570,-0.0003456790123459452
x255,-0.00034613625971666726
x666,-0.000358024691358283
x156,-0.00037082761774156483
x191,-0.000374028349337463
x503,-0.00037448559670791857
x13,-0.0003749428440789515
x756,-0.0003772290809330503
x643,-0.00038545953360773487
x36,-0.00038728852309133366
x464,-0.000388203017833133
x559,-0.00039323273891205267
x248,-0.0003968907178787173
x96,-0.0004023776863286699
x639,-0.00040740740740758953
x331,-0.0004092363968907886
x31,-0.00041289437585709796
x426,-0.0004197530864199717
x296,-0.00042249657064501455
x208,-0.00042706904435290126
x535,-0.0004279835390948339
x215,-0.00042844078646573356
x467,-0.00042981252857843266
x245,-0.00044124371284919305
x97,-0.0004421582075908592
x434,-0.0004462734339281127
x762,-0.0004499314128945109
x105,-0.0004508459076363991
x776,-0.0004508459076364435
x239,-0.0004513031550072988
x91,-0.0004522176497488317
x627,-0.00045267489711986464
x33,-0.0004535893918612199
x200,-0.00045679012345734016
x498,-0.0004618198445357713
x355,-0.0004636488340195033
x270,-0.0004686785550987338
x754,-0.00047279378143585407
x732,-0.0004833104709650371
x179,-0.00048468221307760293
x630,-0.0004910836762691773
x588,-0.0004970278920899407
x446,-0.0004983996342021069
x831,-0.0004993141289436842
x284,-0.0005043438500231812
x430,-0.0005080018289899346
x549,-0.0005089163237312455
x308,-0.0005144032921815978
x613,-0.0005235482395979929
x710,-0.0005272062185644355
x739,-0.0005349794238683536
x540,-0.0005368084133517304
x575,-0.0005386374028355067
x224,-0.000541838134430872
x351,-0.0005445816186560482
x723,-0.0005582990397809962
x572,-0.0005601280292641508
x401,-0.0005619570187473943
x134,-0.0005628715134887053
x403,-0.0005637860082308155
x37,-0.000571559213535
x83,-0.0005802469135804511
x222,-0.0005811614083222949
x582,-0.0005825331504347719
x416,-0.0005848193872887375
x12,-0.0005857338820306257
x19,-0.0005889346136264794
x47,-0.000591678097851167
x28,-0.0005930498399634221
x131,-0.0006012802926386839
x51,-0.0006136259716508885
x420,-0.0006172839506174643
x253,-0.0006200274348423296
x469,-0.0006291723822592132
x761,-0.0006328303612259667
x587,-0.0006520347508006896
x577,-0.0006579789666215419
x138,-0.0006607224508463627
x69,-0.0006620941929588398
x336,-0.0006648376771838382
x821,-0.0006662094192960488
x647,-0.0006675811614083926
x499,-0.0006863283036126599
x271,-0.0007027892089620291
x22,-0.0007027892089621179
x564,-0.0007037037037041394
x678,-0.0007123914037499457
x116,-0.0007137631458621118
x803,-0.000731138545953014
x377,-0.0007361682670329106
x704,-0.0007425697302244849
x398,-0.0007553726566071006
x626,-0.0007686328303611045
x346,-0.0007700045724740257
x738,-0.0007841792409696513
x793,-0.0007869227251944277
x295,-0.0007869227251946053
x541,-0.0007873799725654163
x266,-0.0007882944673075265
x806,-0.0007901234567902815
x813,-0.0007905807041613588
x634,-0.0007910379515319477
x29,-0.0007965249199820779
x827,-0.0008052126200277954
x376,-0.0008070416095111276
x32,-0.0008134430727027464
x235,-0.0008139003200735128
x128,-0.0008157293095565788
x563,-0.0008184727937813552
x161,-0.000823502514860408
x390,-0.000828532235939905
x571,-0.0008321902149065252
x108,-0.0008363054412437787
x275,-0.0008427069044357083
x677,-0.0008445358939190406
x73,-0.0008459076360315176
x741,-0.0008509373571104373
x353,-0.0008541380887063354
x607,-0.0008783721993602001
x733,-0.000892546867855426
x43,-0.0008994055784179
x652,-0.0009016918152720433
x482,-0.0009030635573843426
x794,-0.0009058070416100072
x249,-0.0009176954732517117
x148,-0.0009195244627347776
x474,-0.0009195244627351773
x343,-0.0009208962048470326
x293,-0.0009208962048472991
x765,-0.0009300411522633389
x550,-0.0009300411522637387
x234,-0.0009304983996347715
x16,-0.0009524462734342265
x213,-0.0009570187471424685
x160,-0.0009579332418844455
x797,-0.0009606767261090444
x70,-0.0009634202103340872
x728,-0.0009679926840423292
x628,-0.000969821673525706
x589,-0.0009711934156379609
x285,-0.0009844535893921424
x734,-0.0009871970736173186
x826,-0.0009899405578418286
x749,-0.0009903978052128615
x140,-0.0009977137631461464
x167,-0.0010009144947419556
x719,-0.001016460905350014
x625,-0.0010228623685415439
x408,-0.0010242341106541986
x495,-0.0010256058527667645
x347,-0.0010274348422497858
x178,-0.0010333790580708158
x395,-0.0010388660265206796
x38,-0.0010461819844535202
x581,-0.0010480109739368527
x236,-0.0010594421582080127
x64,-0.001062185642432789
x290,-0.0010621856424331889
x348,-0.0010882487425698528
x529,-0.0010941929583905274
x268,-0.0011069958847737648
x50,-0.001110653863740607
x333,-0.0011197988111570022
