,importance
x529,0.005070549709020389
x302,0.005063285094932077
x811,0.005034802611935799
x636,0.00501966873506172
x44,0.00501273928251474
x128,0.005009849997794836
x188,0.005002695543558169
x448,0.005000547332636501
x521,0.005000049732358571
x421,0.0049996548243830515
x94,0.004959560163060537
x141,0.004947468019691001
x744,0.004944680866738662
x332,0.004942179428250696
x301,0.0049392492617539715
x495,0.004938793551159621
x427,0.004938321170816515
x191,0.00493386997093647
x739,0.004912002247847343
x236,0.004904374613475462
x373,0.004903071018085614
x235,0.004891357690245512
x145,0.004875028475511977
x274,0.004870424135916807
x628,0.004863881795675628
x13,0.004859188863651298
x412,0.004848098076261115
x749,0.004845496452014374
x318,0.004844554354849553
x652,0.004830498228714389
x199,0.004828972330170221
x701,0.004818664996680208
x352,0.004813678973363709
x830,0.00478116772164374
x767,0.0047755038835445235
x21,0.0047739864725653966
x416,0.004772227647523838
x781,0.004768218779256311
x787,0.004767043765618008
x629,0.004760708419118067
x611,0.004756171532889953
x212,0.004746788890636361
x681,0.0047384701464792955
x84,0.004736175284125794
x776,0.004735461001223299
x818,0.004731243474404982
x511,0.0047252732611147855
x323,0.0047216918171719005
x698,0.004719374545421526
x510,0.004719152724398347
x715,0.004713818074853436
x47,0.004705945749099591
x455,0.0047009367676944065
x313,0.004698743792261427
x420,0.004694427493725676
x728,0.00469076590393021
x638,0.004690329154587721
x595,0.004684625849584284
x428,0.00468395185083327
x130,0.004683381514985691
x357,0.004683089914382455
x730,0.004674473605343694
x770,0.004659556108091376
x555,0.004655336778638708
x369,0.004653680960786183
x256,0.004628970326617589
x429,0.004624108580396548
x433,0.004621236106983591
x718,0.004609067704019431
x430,0.004598627777677065
x559,0.0045919396521183235
x247,0.004586855296521927
x685,0.00458669053299247
x354,0.004578286865309151
x243,0.004558614558337047
x663,0.004547641743901337
x494,0.004546410916978881
x250,0.004538122082701808
x569,0.004521637840553602
x738,0.004519038656505641
x449,0.0045188893375374
x142,0.004512366350435985
x617,0.004502906375634937
x77,0.004483664571118675
x279,0.004472271756004916
x508,0.004461108690505225
x299,0.00445568251508334
x752,0.004451912231688067
x364,0.004431327127669624
x459,0.004426883592810119
x791,0.004419839410865601
x513,0.0044167729826062934
x106,0.0044144031277018
x339,0.004408386212373495
x604,0.004404492636357598
x405,0.004397014467245125
x453,0.004394751353220018
x55,0.0043882822778305575
x228,0.0043852757597668945
x563,0.0043805484258556794
x164,0.004379714826724802
x76,0.004378831561142994
x657,0.004365044973590079
x499,0.004363757991056661
x239,0.004350804708284277
x134,0.004317178791820147
x75,0.0043144601065283564
x376,0.004312276228411591
x387,0.0043010488699409145
x633,0.004300590787145717
x343,0.004294351645117204
x475,0.004290086206819962
x53,0.004288312520327772
x93,0.004274569290117073
x63,0.004272981284228708
x545,0.004271934218133379
x112,0.004261876480546912
x630,0.004259277216228924
x760,0.0042552139808595835
x382,0.004250503603787391
x10,0.004248556462646799
x70,0.004245828447946065
x463,0.004243370109278702
x59,0.004228629418589276
x268,0.004215849119546616
x241,0.0042090230141181295
x222,0.0042084754666433044
x181,0.00418402882768513
x297,0.004171613982613691
x152,0.0041710279542629715
x72,0.00416683405214899
x368,0.00416461235948574
x204,0.004162883465552768
x258,0.00415514819700545
x49,0.004153213275105777
x39,0.004148977630448455
x707,0.004144932954709223
x551,0.0041406387190768175
x762,0.004132558055224283
x226,0.004130715520805542
x457,0.0041236920538993945
x690,0.004122384297002373
x557,0.004112049942834001
x371,0.004109859662665743
